"music_title","difficulty_name","music_id","difficulty_id","count","played","comp","ex_comp","uc","per","grade_C","grade_B","grade_A","grade_Ap","grade_AA","grade_AAp","grade_AAA","grade_AAAp","grade_S","grade_995","grade_998","avg_score","sd_score","avg_skill_u8","avg_skill_9","avg_skill_10","avg_skill_11","avg_skill_12_n","avg_skill_12_g","avg_skill_12_h","avg_vf_u7","avg_vf_8_i_ii","avg_vf_8_iii_iv","avg_vf_9_i","avg_vf_9_ii","avg_vf_9_iii","avg_vf_9_iv","avg_vf_10_i","avg_vf_10_ii","avg_vf_10_iii","avg_vf_10_iv"
"I","EXHAUST","1121","3","3686","395","980","2204","95","12","3671","3656","3621","3601","3561","3375","2857","2159","1122","375","129","9737099","494899","9281918","8277072","9042678","9608936","9816522","9881950","9934085","9101209","9560988","9702390","9792625","9848071","9892281","9927050","9948105","9951768","9970540","9975777"
"I","MAXIMUM","1121","4","2905","1432","1146","325","0","2","2444","2385","2246","2053","1849","1687","908","484","132","34","6","8513240","2233283","8294926","7961672","7236446","6269957","8360569","9634969","9798520","7808005","5718060","6226477","8067984","9166723","9574995","9738238","9844242","9865545","9903849","9936861"
"Libera me","NOVICE","1122","1","52","0","4","1","2","45","52","52","52","52","52","51","51","48","47","47","47","9973082","95947","9920428","9772135","9996745","9978516","9999349","10000000","10000000","9912923","10000000","10000000","10000000","10000000","10000000","9999277","10000000","10000000","0","10000000"
"Libera me","ADVANCED","1122","2","72","0","17","5","20","30","72","72","72","72","68","59","53","51","50","46","38","9827416","268369","9640910","9328849","9643746","9868554","9962902","10000000","9998007","9648682","9993274","9892376","9926457","10000000","10000000","9996014","10000000","10000000","0","10000000"
"Libera me","EXHAUST","1122","3","677","2","107","184","271","113","677","676","673","658","644","610","557","507","422","322","208","9832168","274558","9370870","9532570","9744725","9875024","9954694","9857422","9992619","9614677","9894321","9907262","9957889","9973605","9986386","9950515","9997350","10000000","10000000","10000000"
"Libera me","MAXIMUM","1122","4","3259","197","830","1881","295","56","3258","3258","3218","3155","2930","2636","2147","1660","1134","504","194","9703336","336431","9543408","8804170","9200440","9560194","9803135","9880381","9939622","9141996","9500438","9678450","9783574","9857723","9904072","9933703","9920655","9973529","9958091","9988534"
"ワールズエンド・ダンスホール","NOVICE","1123","1","58","0","3","0","4","51","58","58","56","56","56","56","55","55","55","55","53","9940694","279546","9999093","0","9992743","9865022","9869934","10000000","9972089","9995853","10000000","9661829","9778665","10000000","10000000","9967014","10000000","10000000","0","10000000"
"ワールズエンド・ダンスホール","ADVANCED","1123","2","88","5","15","11","18","39","88","87","85","85","83","78","73","71","65","60","47","9825931","448910","9685544","9082377","9937434","9806765","9981889","9004171","9999131","9734242","9998697","9972627","9972193","9502086","9715850","9998841","10000000","10000000","0","9998957"
"ワールズエンド・ダンスホール","EXHAUST","1123","3","1037","17","146","423","264","187","1035","1035","1029","1017","989","952","900","829","713","572","393","9850197","400203","9445684","9549822","9748559","9857003","9921067","9970403","9992790","9645601","9874015","9893691","9896538","9976334","9978690","9990597","9996145","10000000","9998814","9998136"
"ワールズエンド・ダンスホール","MAXIMUM","1123","4","3556","271","1339","1772","91","83","3554","3554","3523","3442","3273","2876","2287","1699","1066","447","248","9703079","300723","9574721","8877401","9168672","9526392","9778492","9858999","9926106","9141304","9451775","9643997","9755118","9828747","9867515","9920594","9948051","9967598","9983761","9991934"
"からくりピエロ","NOVICE","1124","1","81","0","0","0","2","79","81","81","81","81","81","81","81","81","81","81","80","9999314","4550","10000000","0","10000000","9998051","9999074","10000000","10000000","9998316","10000000","10000000","9998575","10000000","10000000","10000000","10000000","10000000","0","10000000"
"からくりピエロ","ADVANCED","1124","2","65","2","8","2","6","47","64","64","63","61","60","58","54","54","53","51","48","9771408","817685","9659090","9292453","8493514","9922612","9989387","10000000","9768868","9522859","9997641","10000000","9974056","10000000","10000000","9768868","10000000","10000000","0","10000000"
"からくりピエロ","EXHAUST","1124","3","518","2","46","82","215","173","518","518","514","507","499","494","474","457","428","365","251","9903268","244588","9616571","9658119","9728407","9916082","9969089","9990138","9990793","9654626","9921422","9931623","9971725","9989386","9992877","9988090","9998022","10000000","10000000","10000000"
"からくりピエロ","MAXIMUM","1124","4","2503","17","375","1515","397","199","2503","2503","2485","2459","2394","2301","2085","1827","1366","762","363","9823909","239346","9188341","9330567","9542366","9797754","9902190","9936611","9971114","9494291","9771968","9858675","9910906","9931694","9932990","9969599","9966204","9993707","9994262","9988764"
"GERBERA-For Finalists-","NOVICE","1125","1","80","4","5","10","14","47","80","80","79","78","77","77","75","73","70","67","64","9920042","308572","9769789","9644633","9977612","9975251","9998334","10000000","9999031","9797974","9959641","9997335","9999112","9998667","10000000","9998546","10000000","10000000","0","10000000"
"GERBERA-For Finalists-","ADVANCED","1125","2","324","5","58","131","72","58","324","324","320","313","298","283","261","235","185","123","87","9802916","293647","9489319","9581430","9662238","9895177","9962435","9968863","9999335","9613335","9880134","9923637","9953096","9894572","9980271","9997224","9998554","10000000","0","10000000"
"GERBERA-For Finalists-","EXHAUST","1125","3","3408","133","935","2110","199","31","3406","3402","3377","3320","3138","2835","2349","1777","1168","443","168","9720375","345098","9307724","8947335","9296888","9604873","9828672","9872520","9923155","9251113","9543285","9709675","9803025","9873422","9898363","9934096","9850191","9956767","9980792","9961090"
"GERBERA-For Finalists-","MAXIMUM","1125","4","3273","849","1644","766","14","0","3259","3256","3164","2973","2546","1841","1007","507","168","36","12","9461970","527719","9258678","8182085","8854459","9163088","9498281","9602093","9758288","8571604","9018108","9313084","9461388","9549408","9621613","9707073","9812939","9856690","9898828","9821468"
"プラネタジャーニー","NOVICE","1126","1","66","6","0","1","7","52","66","66","64","64","63","63","62","62","61","57","55","9928554","288566","9946928","9207317","9997459","9952931","9842018","10000000","10000000","9886257","9998306","9710366","9997967","10000000","10000000","10000000","10000000","10000000","0","10000000"
"プラネタジャーニー","ADVANCED","1126","2","115","31","2","12","35","35","112","112","112","111","107","102","92","79","68","54","43","9663236","1136052","9484911","9511012","9836353","9901072","9931318","7026627","9999384","9654185","9864090","9899408","9920752","7026627","9987056","9999178","10000000","10000000","0","9997534"
"プラネタジャーニー","EXHAUST","1126","3","1359","488","27","152","558","134","1354","1351","1350","1350","1343","1330","1254","1127","859","553","278","9860006","469384","9380053","9580156","9818147","9894513","9944896","9834437","9900475","9717599","9889871","9921599","9950606","9955091","9959011","9796244","9996593","10000000","10000000","10000000"
"プラネタジャーニー","MAXIMUM","1126","4","3214","707","391","1802","227","87","3139","3131","3109","3081","2953","2777","2387","1843","1183","535","221","9636090","875944","9659528","7489125","8910332","9405697","9739234","9872484","9903819","8603078","9260306","9632015","9683871","9807691","9848791","9923701","9938594","9939813","9946861","9970140"
"メルヘン風紀委員会","NOVICE","1127","1","59","2","0","2","3","52","59","59","59","59","59","58","58","57","57","57","56","9983290","92002","9969190","9316901","9994366","9997833","10000000","10000000","10000000","9950704","10000000","10000000","10000000","10000000","10000000","10000000","10000000","10000000","0","10000000"
"メルヘン風紀委員会","ADVANCED","1127","2","108","45","1","10","16","36","106","106","105","105","105","96","94","84","70","60","49","9697067","1336413","9764881","9571888","9880096","9950770","9988775","10000000","8199766","9786739","9975679","9981606","9998774","9974249","10000000","7517167","10000000","10000000","0","10000000"
"メルヘン風紀委員会","EXHAUST","1127","3","1207","651","24","211","185","136","1200","1200","1198","1196","1189","1175","1125","1044","807","517","294","9859198","540515","9524324","9645774","9830462","9901842","9953986","9792429","9993925","9707312","9898913","9928406","9961301","9865131","9866557","9990916","9998366","9999500","10000000","10000000"
"メルヘン風紀委員会","MAXIMUM","1127","4","3121","908","363","1563","156","131","3080","3063","3006","3002","2954","2807","2550","2091","1405","727","347","9718023","695768","9730904","8149589","9129086","9490419","9804550","9893170","9951081","8882445","9306862","9710012","9763140","9871486","9897396","9947204","9954811","9945800","9964727","9981941"
"Wings of Glory","NOVICE","1128","1","59","4","0","6","7","42","59","59","59","59","59","59","55","55","51","51","51","9964879","97102","9864303","9535452","9990831","9985330","9998777","10000000","10000000","9898983","10000000","9979916","9998777","10000000","10000000","9999321","10000000","10000000","0","10000000"
"Wings of Glory","ADVANCED","1128","2","176","64","10","29","38","35","171","170","169","169","165","159","144","125","98","84","61","9704968","832588","9308321","9291433","9819547","9813140","9972422","9962637","9992794","9494647","9899347","9945603","9980428","9997598","9975617","9991070","10000000","10000000","0","10000000"
